"hs2","description_ko","description_en","section"
"75","니켈과 그 제품","Nickel and articles thereof","XV"
"76","알루미늄과 그 제품","Aluminium and articles thereof","XV"
"78","납과 그 제품","Lead and articles thereof","XV"
"79","아연과 그 제품","Zinc and articles thereof","XV"
"80","주석과 그 제품","Tin and articles thereof","XV"
"81","그 밖의 비금속(卑金屬), 서멧(cermet), 이들의 제품","Other base metals; cermets; articles thereof","XV"
"82","비금속(卑金屬)으로 만든 공구·도구·칼붙이·스푼·포크, 이들의 부분품","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","XV"
"83","비금속(卑金屬)으로 만든 각종 제품","Miscellaneous articles of base metal","XV"
"84","원자로·보일러·기계류와 이들의 부분품","Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","XVI"
"85","전기기기와 그 부분품, 녹음기·음성 재생기·텔레비전의 영상과 음성의 기록기·재생기와 이들의 부분품·부속품","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles","XVI"
"86","철도용이나 궤도용 기관차·차량과 이들의 부분품, 철도용이나 궤도용 장비품과 그 부분품, 기계식(전기기계식을 포함한다) 각종 교통신호용 기기","Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds","XVII"
"87","철도용이나 궤도용 외의 차량과 그 부분품·부속품","Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof","XVII"
"88","항공기와 우주선, 이들의 부분품","Aircraft, spacecraft, and parts thereof","XVII"
"89","선박과 수상 구조물","Ships, boats and floating structures","XVII"
"90","광학기기·사진용 기기·영화용 기기·측정기기·검사기기·정밀기기·의료용 기기, 이들의 부분품과 부속품","Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof","XVIII"
"91","시계와 그 부분품","Clocks and watches and parts thereof","XVIII"
"92","악기와 그 부분품과 부속품","Musical instruments; parts and accessories of such articles","XVIII"
"93","무기·총포탄과 이들의 부분품과 부속품","Arms and ammunition; parts and accessories thereof","XIX"
"94","가구·침구·매트리스·매트리스 서포트(mattress support)·쿠션과 이와 유사한 물품, 다른 류로 분류되지 않은 조명기구, 조명용 사인·조명용 네임플레이트(name-plate)와 이와 유사한 물품, 조립식 건축물","Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings","XX"
"95","완구·게임용구·운동용구와 이들의 부분품과 부속품","Toys, games and sports requisites; parts and accessories thereof","XX"
"96","잡품","Miscellaneous manufactured articles","XX"
"97","예술품·수집품·골동품","Works of art, collectors' pieces and antiques","XXI"
"99","","",""
